iter	RMSE
0	1.984653137
1	1.903432554
2	1.828526038
3	1.766569379
4	1.693053179
5	1.645273658
6	1.579773002
7	1.526573729
8	1.479860714
9	1.437299932
10	1.38949156
11	1.353322919
12	1.317406927
13	1.286302322
14	1.255417314
15	1.227605316
16	1.206843956
17	1.183995335
18	1.158321918
19	1.135666703
20	1.120594658
21	1.104727921
22	1.087285639
23	1.070138633
24	1.057689514
25	1.041067473
26	1.018188607
27	1.005789277
28	0.995591586
29	0.9858147708
30	0.974948046
31	0.9633029834
32	0.9535124993
33	0.9449113255
34	0.9348333901
35	0.9318171391
36	0.9205245397
37	0.9094971473
38	0.8934966583
39	0.8835328192
40	0.8760740073
41	0.8668056933
42	0.8615038366
43	0.8532244841
44	0.8401480221
45	0.8290155772
46	0.8192756654
47	0.8119050529
48	0.8053446461
49	0.7987708068
50	0.7928073831
51	0.7863871991
52	0.7814338157
53	0.7751848576
54	0.7719837283
55	0.7618473233
56	0.7564580253
57	0.7481120014
58	0.7444248338
59	0.7377213726
60	0.733083121
61	0.7282007481
62	0.7253928211
63	0.7215936071
64	0.7147701762
65	0.7077269061
66	0.7029429409
67	0.6984204609
68	0.6903243084
69	0.6868254759
70	0.6822110237
71	0.6786228664
72	0.674267367
73	0.6640565642
74	0.6598744343
75	0.6517286272
76	0.6487866504
77	0.6462911179
78	0.6391399293
79	0.6368633903
80	0.6319960551
81	0.6283927237
82	0.6257508051
83	0.618770109
84	0.6158456096
85	0.6115849626
86	0.609995317
87	0.6035191433
88	0.6012993325
89	0.5991120492
90	0.5983579962
91	0.5975781617
92	0.590282473
93	0.5859043786
94	0.5797698969
95	0.5770160561
96	0.571881964
97	0.5679294583
98	0.5661907091
99	0.5610213218
100	0.5564148759
101	0.5531091301
102	0.5463861795
103	0.543715183
104	0.5431486421
105	0.5404404408
106	0.5374685277
107	0.5369572488
108	0.5337614107
109	0.5287015425
110	0.5250761817
111	0.5234395347
112	0.5196393125
113	0.5186058096
114	0.5169743019
115	0.5134023669
116	0.5108842172
117	0.5075215832
118	0.5035425614
119	0.5031142269
120	0.4994437017
121	0.4963338526
122	0.4958816111
123	0.4946993026
124	0.4923963053
125	0.4900744499
126	0.4879978767
127	0.4856695577
128	0.4839101455
129	0.4805096649
130	0.4784478049
131	0.4781208544
132	0.4768784689
133	0.4732961673
134	0.4729554356
135	0.4723822787
136	0.4699381777
137	0.4672566459
138	0.4646689286
139	0.4621067629
140	0.4588139842
141	0.4569454592
142	0.4564240648
143	0.4548233807
144	0.4528378269
145	0.4508980817
146	0.4492469611
147	0.4485688499
148	0.4477842166
149	0.446622454
150	0.4445018837
151	0.4442445714
152	0.4415258237
153	0.4398411193
154	0.4371211753
155	0.4352261462
156	0.4338008041
157	0.4323742196
158	0.4299839735
159	0.4276937623
160	0.4247400115
161	0.4224760803
162	0.4202197324
163	0.4191230337
164	0.4171953042
165	0.4156437861
166	0.4154608043
167	0.4140656038
168	0.4139137834
169	0.4123383354
170	0.4108046906
171	0.4087146651
172	0.4074291487
173	0.4072461046
174	0.4059789178
175	0.4040393459
176	0.4038300538
177	0.4028298452
178	0.4013643895
179	0.4011523041
180	0.3998365427
181	0.3996445951
182	0.3987796702
183	0.3965745457
184	0.3955457547
185	0.3947455927
186	0.3929732098
187	0.3913883327
188	0.3911994504
189	0.3898375112
190	0.3884919807
191	0.3881968174
192	0.3868442824
193	0.384978432
194	0.3834284152
195	0.3819638661
196	0.3803770432
197	0.3786523992
198	0.3773519253
199	0.3756876116
