iter	Passed	Remaining
0	1	225
1	2	204
2	3	207
3	4	228
4	5	232
5	6	218
6	7	214
7	8	208
8	9	206
9	10	203
10	12	220
11	13	217
12	14	213
13	15	211
14	16	208
15	18	213
16	20	220
17	21	218
18	22	216
19	23	213
20	24	210
21	25	207
22	26	203
23	27	201
24	28	201
25	29	199
26	30	197
27	32	201
28	33	198
29	34	195
30	35	192
31	36	189
32	36	187
33	37	184
34	38	183
35	39	178
36	40	178
37	41	176
38	42	175
39	43	173
40	44	172
41	45	170
42	46	169
43	47	167
44	48	165
45	49	164
46	50	163
47	51	162
48	52	160
49	53	159
50	54	157
51	54	156
52	55	154
53	56	153
54	57	152
55	58	151
56	59	149
57	60	148
58	61	147
59	62	146
60	63	143
61	64	142
62	65	141
63	66	140
64	67	139
65	68	138
66	69	137
67	69	135
68	70	134
69	71	133
70	72	131
71	73	130
72	74	130
73	76	129
74	77	128
75	77	127
76	78	126
77	80	125
78	81	124
79	82	123
80	83	122
81	84	121
82	85	119
83	86	119
84	87	118
85	88	117
86	89	116
87	90	115
88	91	114
89	92	113
90	93	111
91	93	110
92	94	109
93	95	108
94	96	107
95	97	106
96	99	105
97	100	104
98	101	103
99	102	102
100	103	101
101	104	100
102	105	99
103	106	98
104	107	97
105	108	96
106	109	94
107	109	93
108	110	92
109	111	91
110	112	90
111	113	89
112	114	88
113	115	87
114	116	86
115	117	85
116	119	84
117	120	83
118	121	82
119	122	81
120	123	80
121	125	79
122	126	78
123	127	77
124	128	76
125	129	75
126	131	75
127	132	74
128	133	73
129	134	72
130	135	71
131	136	70
132	137	69
133	139	68
134	141	67
135	142	66
136	143	65
137	144	64
138	145	63
139	146	62
140	148	62
141	149	61
142	150	59
143	151	58
144	152	57
145	153	56
146	154	55
147	156	54
148	157	53
149	158	52
150	160	51
151	161	50
152	162	49
153	163	48
154	164	47
155	165	46
156	167	45
157	169	44
158	170	44
159	172	43
160	173	41
161	174	40
162	176	40
163	177	39
164	179	37
165	180	36
166	181	35
167	182	34
168	184	33
169	185	32
170	198	33
171	199	32
172	200	31
173	201	30
174	203	29
175	204	27
176	206	26
177	207	25
178	208	24
179	209	23
180	210	22
181	211	20
182	213	19
183	214	18
184	215	17
185	217	16
186	218	15
187	219	14
188	220	12
189	221	11
190	222	10
191	223	9
192	224	8
193	226	6
194	227	5
195	228	4
196	229	3
197	230	2
198	231	1
199	233	0
